lat,lon,year,month,day,hour,avg_volume
40.658626,-73.960505,2024,09,1,0,1351.582031
40.658626,-73.960505,2024,10,1,0,95.945778
40.658626,-73.960505,2024,11,1,0,6581.333496
40.658626,-73.960505,2024,12,1,0,1299.473511
40.658626,-73.960505,2025,01,1,0,0.000000
40.658626,-73.960505,2024,02,1,0,4517.879883
40.658626,-73.960505,2024,03,1,0,4495.916504
40.658626,-73.960505,2024,04,1,0,2171.363525
40.658626,-73.960505,2025,05,1,0,6218.605957
40.690821,-73.778669,2024,06,1,0,2469.147705
40.690821,-73.778669,2024,07,1,0,1747.395020
40.690821,-73.778669,2024,08,1,0,8683.153320
40.690821,-73.778669,2024,09,1,0,2128.181641
40.690821,-73.778669,2024,10,1,0,1017.504639
40.690821,-73.778669,2024,11,1,0,7134.471191
40.690821,-73.778669,2024,12,1,0,2022.797119
40.690821,-73.778669,2025,01,1,0,859.897034
40.690821,-73.778669,2024,02,1,0,5277.880859
40.690821,-73.778669,2024,03,1,0,5026.581055
40.690821,-73.778669,2024,04,1,0,3007.065186
40.690821,-73.778669,2025,05,1,0,6912.901367
40.670244,-73.856755,2024,06,1,0,1347.439575
40.670244,-73.856755,2024,07,1,0,210.691666
40.670244,-73.856755,2024,08,1,0,8091.277832
40.670244,-73.856755,2024,09,1,0,1342.746338
40.670244,-73.856755,2024,10,1,0,92.383179
40.670244,-73.856755,2024,11,1,0,6587.176758
40.670244,-73.856755,2024,12,1,0,1040.862183
40.670244,-73.856755,2025,01,1,0,0.000000
40.670244,-73.856755,2024,02,1,0,4198.407715
40.670244,-73.856755,2024,03,1,0,4101.730957
40.670244,-73.856755,2024,04,1,0,1727.037476
40.670244,-73.856755,2025,05,1,0,5752.101562
40.882897,-73.887970,2024,06,1,0,1287.100342
40.882897,-73.887970,2024,07,1,0,136.177719
40.882897,-73.887970,2024,08,1,0,8048.024414
40.882897,-73.887970,2024,09,1,0,1308.817261
40.882897,-73.887970,2024,10,1,0,43.098316
40.882897,-73.887970,2024,11,1,0,6561.057617
40.882897,-73.887970,2024,12,1,0,1145.540894
40.882897,-73.887970,2025,01,1,0,0.000000
40.882897,-73.887970,2024,02,1,0,4334.591309
40.882897,-73.887970,2024,03,1,0,4301.331543
40.882897,-73.887970,2024,04,1,0,1945.089111
40.882897,-73.887970,2025,05,1,0,5978.601074
40.769324,-73.982222,2024,06,1,0,1206.027466
40.769324,-73.982222,2024,07,1,0,0.000000
40.769324,-73.982222,2024,08,1,0,8007.117676
40.769324,-73.982222,2024,09,1,0,1194.267212
40.769324,-73.982222,2024,10,1,0,0.000000
40.769324,-73.982222,2024,11,1,0,6480.020020
40.769324,-73.982222,2024,12,1,0,952.311218
40.769324,-73.982222,2025,01,1,0,0.000000
40.769324,-73.982222,2024,02,1,0,4118.775879
40.769324,-73.982222,2024,03,1,0,4089.101807
40.769324,-73.982222,2024,04,1,0,1668.525269
40.769324,-73.982222,2025,05,1,0,5722.094238
40.638582,-73.908526,2024,06,1,0,1598.506714
40.638582,-73.908526,2024,07,1,0,559.572205
40.638582,-73.908526,2024,08,1,0,8226.034180
40.638582,-73.908526,2024,09,1,0,1528.108032
40.638582,-73.908526,2024,10,1,0,303.996033
40.638582,-73.908526,2024,11,1,0,6714.107910
40.638582,-73.908526,2024,12,1,0,1288.395874
40.638582,-73.908526,2025,01,1,0,0.000000
40.638582,-73.908526,2024,02,1,0,4477.876953
40.638582,-73.908526,2024,03,1,0,4355.532715
40.638582,-73.908526,2024,04,1,0,2066.552979
40.638582,-73.908526,2025,05,1,0,6069.929199
40.745899,-73.852679,2024,06,1,0,2126.440186
40.745899,-73.852679,2024,07,1,0,1288.799194
40.745899,-73.852679,2024,08,1,0,8520.160156
40.745899,-73.852679,2024,09,1,0,1886.939453
40.745899,-73.852679,2024,10,1,0,731.517456
40.745899,-73.852679,2024,11,1,0,6967.227051
40.745899,-73.852679,2024,12,1,0,1640.328857
40.745899,-73.852679,2025,01,1,0,318.612976
40.745899,-73.852679,2024,02,1,0,4846.604492
40.745899,-73.852679,2024,03,1,0,4632.708984
40.745899,-73.852679,2024,04,1,0,2492.798096
40.745899,-73.852679,2025,05,1,0,6423.632812
40.731452,-73.864175,2024,06,1,0,1460.866699
40.731452,-73.864175,2024,07,1,0,368.388489
40.731452,-73.864175,2024,08,1,0,8144.534180
40.731452,-73.864175,2024,09,1,0,1434.041504
40.731452,-73.864175,2024,10,1,0,191.651077
40.731452,-73.864175,2024,11,1,0,6646.864746
40.731452,-73.864175,2024,12,1,0,1243.654907
40.731452,-73.864175,2025,01,1,0,0.000000
40.731452,-73.864175,2024,02,1,0,4437.838867
40.731452,-73.864175,2024,03,1,0,4345.313965
40.731452,-73.864175,2024,04,1,0,2023.295532
40.731452,-73.864175,2025,05,1,0,6048.858398
40.769272,-73.982221,2024,06,1,0,1835.940186
40.769272,-73.982221,2024,07,1,0,887.947876
40.769272,-73.982221,2024,08,1,0,8360.322266
40.769272,-73.982221,2024,09,1,0,1692.390991
40.769272,-73.982221,2024,10,1,0,502.553162
40.769272,-73.982221,2024,11,1,0,6832.047852
40.769272,-73.982221,2024,12,1,0,1419.302368
40.769272,-73.982221,2025,01,1,0,0.000000
40.769272,-73.982221,2024,02,1,0,4610.491699
40.769272,-73.982221,2024,03,1,0,4446.458984
40.769272,-73.982221,2024,04,1,0,2225.494873
40.769272,-73.982221,2025,05,1,0,6187.752930
40.839873,-73.852724,2024,06,1,0,1838.482666
40.839873,-73.852724,2024,07,1,0,891.995300
40.839873,-73.852724,2024,08,1,0,8362.640625
40.839873,-73.852724,2024,09,1,0,1692.037964
40.839873,-73.852724,2024,10,1,0,503.546112
40.839873,-73.852724,2024,11,1,0,6831.359375
40.839873,-73.852724,2024,12,1,0,1413.346680
40.839873,-73.852724,2025,01,1,0,0.000000
